,conjugation_type,business_sentence,common_sentence
0,と申します,H社の高市「と申します」。,H社の高市「です」。
1,います,いつもお世話になって「おります」。,いつもお世話になって「います」。
2,います,こちらこそ、お世話になって「おります」。,こちらこそ、お世話になって「います」。
3,います,稲田さんは「いらっしゃいます」か？,稲田さんは「います」か？
4,もらう,1時間ほど前に、お電話「いただいた」そうなんですけど。,1時間ほど前に、お電話「もらった」そうなんですけど。
5,てください,少々「お待ちください」。,少々「待ってください」。
6,どう,明日の午前中、10時半頃からだと「いかが」ですか？,明日の午前中、10時半頃からだと「どう」ですか？
7,もらう,すべて、能勢さんにも同席して「いただき」ますので、改善した方が良い点などはご指摘ください。,すべて、能勢さんにも同席して「もらい」ますので、改善した方が良い点などはご指摘ください。
8,てください,すべて、能勢さんにも同席していただきますので、改善した方が良い点などは「ご指摘ください」。,すべて、能勢さんにも同席していただきますので、改善した方が良い点などは「指摘してください」。
9,もらう,前日のリハーサルには、役員以外に、本日ご出席いただいている顧問弁護士の太田先生にもお越し「いただき」たく存じます。,前日のリハーサルには、役員以外に、本日ご出席いただいている顧問弁護士の太田先生にもお越し「もらい」たく存じます。
10,います,また、総会当日のみ、担当監査法人の会計士の先生にも裏方に待機していただき、何かあった時のサポートをお願いして「おります」。,また、総会当日のみ、担当監査法人の会計士の先生にも裏方に待機していただき、何かあった時のサポートをお願いして「います」。
11,もらう,また、総会当日のみ、担当監査法人の会計士の先生にも裏方に待機して「いただき」、何かあった時のサポートをお願いしております。,また、総会当日のみ、担当監査法人の会計士の先生にも裏方に待機して「もらい」、何かあった時のサポートをお願いしております。
12,てください,必ずしも想定問答集通りに質問する訳ではありませんので、「ご了承ください」。,必ずしも想定問答集通りに質問する訳ではありませんので、「了承してください」。
13,もらう,はい、それではこれより私が進めさせて「いただき」ます。,はい、それではこれより私が進めさせて「もらい」ます。
14,もらう,まず始めに、M信託銀行の能勢さんより、今期の各社の総会における傾向等についてお話「いただき」ます。,まず始めに、M信託銀行の能勢さんより、今期の各社の総会における傾向等についてお話「もらい」ます。
15,します,能勢さん、よろしくお願い「致します」。,能勢さん、よろしくお願い「します」。
16,もらう,今年も御社の総会のお手伝いをさせて「いただき」ます、M信託銀行の能勢です。,今年も御社の総会のお手伝いをさせて「もらい」ます、M信託銀行の能勢です。
17,します,どうぞ、よろしくお願い「致します」。,どうぞ、よろしくお願い「します」。
18,います,株主数については安定して「おります」。,株主数については安定して「います」。
19,てください,それでは、事前にメールに添付した資料を「ご覧ください」。,それでは、事前にメールに添付した資料を「見てください」。
20,と申します,I社、広報IR室の高田「と申します」。,I社、広報IR室の高田「です」。
21,います,今回の株主総会開催について事務方を担当して「おります」。,今回の株主総会開催について事務方を担当して「います」。
22,もらう,わざわざ「お越しいただいて」、すみませんね。,わざわざ「来てもらって」、すみませんね。
23,てください,どうぞ、「お目通しください」。,どうぞ、「見てください」。
24,います,総会開始１０分前までは、私も受付で待機して「おります」のでお声掛けください。,総会開始１０分前までは、私も受付で待機して「います」のでお声掛けください。
25,てください,総会開始１０分前までは、私も受付で待機しておりますので「お声掛けください」。,総会開始１０分前までは、私も受付で待機しておりますので「声をかけてください」。
26,します,それでは、当日、どうぞよろしくお願い「致します」。,それでは、当日、どうぞよろしくお願い「します」。
27,と申します,いつもお世話になっております、I社の高田「と申します」。,いつもお世話になっております、I社の高田「です」。
28,います,いつもお世話になって「おります」、I社の高田と申します。,いつもお世話になって「います」、I社の高田と申します。
29,てください,少々「お待ちください」。,少々「待ってください」。
30,います,先生、いつもお世話になって「おります」、高田です。,先生、いつもお世話になって「います」、高田です。
31,どう,近々、先生の事務所に伺いたいのですが、ご都合「いかが」でしょうか？,近々、先生の事務所に伺いたいのですが、ご都合「どう」でしょうか？
32,どう,明後日の午後は「いかが」ですか？,明後日の午後は「どう」ですか？
33,います,お世話になって「おります」、M信託銀行の能勢ですが。,お世話になって「います」、M信託銀行の能勢ですが。
34,います,広報IR室の高田さんは「いらっしゃいます」か？,広報IR室の高田さんは「います」か？
35,います,申し訳ございません、ただいま外出して「おります」が。,申し訳ございません、ただいま外出して「います」が。
36,います,午後２時に帰社予定となって「おります」。,午後２時に帰社予定となって「います」。
37,どう,「いかが」致しましょうか？,「どう」致しましょうか？
38,もらう,それじゃあ、お伝え「いただき」たいのですが。,それじゃあ、お伝え「もらい」たいのですが。
39,います,明日、午後からは社内に「おります」、とお伝え下さい。,明日、午後からは社内に「います」、とお伝え下さい。
40,します,はい、失礼「致します」。,はい、失礼「します」。
41,います,藤本様、当社の追跡サービスによりますと、3日前に到着したと示して「おります」。,藤本様、当社の追跡サービスによりますと、3日前に到着したと示して「います」。
42,います,到着は1週間後となって「おります」。,到着は1週間後となって「います」。
43,します,当初の購入代金と配送料を、お支払い頂いたお客様のクレジットカードへ払い戻し「いたします」。,当初の購入代金と配送料を、お支払い頂いたお客様のクレジットカードへ払い戻し「します」。
44,います,そこで、すばらしいがんばりをしてくれた皆さんに感謝の印として、何かしたいと考えて「おります」。,そこで、すばらしいがんばりをしてくれた皆さんに感謝の印として、何かしたいと考えて「います」。
45,どう,我々経営陣は、皆さんに特別手当の支給または、社内旅行を考えていますが、「いかが」でしょうか。,我々経営陣は、皆さんに特別手当の支給または、社内旅行を考えていますが、「どう」でしょうか。
46,います,改めて、皆さんの優れた働きに感謝して「おります」。,改めて、皆さんの優れた働きに感謝して「います」。
47,と申します,もしもし、私、A社の松尾「と申します」。,もしもし、私、A社の松尾「です」。
48,います,お世話になって「おります」。,お世話になって「います」。
49,もらう,申し訳ないのですが、支払いを1週間ほど延ばして「いただけます」か？,申し訳ないのですが、支払いを1週間ほど延ばして「もらえます」か？
50,います,お支払いは銀行振り込みとなって「おります」。,お支払いは銀行振り込みとなって「います」。
51,います,当社の口座番号は、先日発行して「おります」請求書の一番下に書いてあります。,当社の口座番号は、先日発行して「います」請求書の一番下に書いてあります。
52,います,以上が、先日のミーティングについての概要となって「おります」。,以上が、先日のミーティングについての概要となって「います」。
53,と申します,先日電卓を注文したB社の増田「と申します」。,先日電卓を注文したB社の増田「です」。
54,します,はい、C社カスタマーサービス水野がお受け「いたします」。,はい、C社カスタマーサービス水野がお受け「します」。
55,します,すぐに確認「いたします」ね。,すぐに確認「します」ね。
56,します,はい、すぐに準備「いたします」。,はい、すぐに準備「します」。
57,します,何卒よろしくお願い「致します」。,何卒よろしくお願い「します」。
58,します,では、失礼「致します」。,では、失礼「します」。
59,もらう,先日提出して「いただいた」北欧のビジネス街についての記事を、後1500文字ほど増やしていただくことは可能でしょうか。,先日提出して「もらった」北欧のビジネス街についての記事を、後1500文字ほど増やしていただくことは可能でしょうか。
60,います,あ、それから、今後そちらで掲載していただきたい記事のトピックについても、いくつか絞って「おります」ので、また後ほどデータを送らせてもらいますね。,あ、それから、今後そちらで掲載していただきたい記事のトピックについても、いくつか絞って「います」ので、また後ほどデータを送らせてもらいますね。
61,もらう,あ、それから、今後そちらで掲載して「いただき」たい記事のトピックについても、いくつか絞っておりますので、また後ほどデータを送らせてもらいますね。,あ、それから、今後そちらで掲載して「もらい」たい記事のトピックについても、いくつか絞っておりますので、また後ほどデータを送らせてもらいますね。
62,します,では、期限について本日中にご連絡「いたします」。,では、期限について本日中にご連絡「します」。
63,います,どなたか他に提案のある方は「いらっしゃいます」か。,どなたか他に提案のある方は「います」か。
64,と申します,もしもし、制作部の木野「と申します」。,もしもし、制作部の木野「です」。
65,います,河本さんは「いらっしゃいます」か。,河本さんは「います」か。
66,てください,少々「お待ちください」ませ。,少々「待ってください」ませ。
67,します,河本へおつなぎ「致します」。,河本へおつなぎ「します」。
68,と申します,B社の改装プロジェクト責任者、木野「と申します」。,B社の改装プロジェクト責任者、木野「です」。
69,します,お電話でのご挨拶失礼「いたします」。,お電話でのご挨拶失礼「します」。
70,します,本日、至急もう１枚ご用意「致します」。,本日、至急もう１枚ご用意「します」。
71,います,では、午後3時ごろ、弊社にてお待ちして「おります」。,では、午後3時ごろ、弊社にてお待ちして「います」。
72,します,はい、何卒よろしくお願い「致します」。,はい、何卒よろしくお願い「します」。
73,います,すみませんが、白木はただ今、席をはずして「おります」。,すみませんが、白木はただ今、席をはずして「います」。
74,します,お伝え「いたします」。,お伝え「します」。
75,もらう,皆様、本日はお集まり「いただき」ありがとうございます。,皆様、本日はお集まり「もらい」ありがとうございます。
76,と申します,本日司会を務めさせて頂きます、岡田「と申します」。,本日司会を務めさせて頂きます、岡田「です」。
77,します,よろしくお願い「致します」。,よろしくお願い「します」。
78,います,つきましては、アジア地域専門の徳井様をお招きして「おります」。,つきましては、アジア地域専門の徳井様をお招きして「います」。
79,もらう,本日はお招き「いただき」、ありがとうございます。,本日はお招き「もらい」、ありがとうございます。
80,てください,はい、では、皆さまお手元の資料を「ご覧ください」。,はい、では、皆さまお手元の資料を「見てください」。
81,います,資料を見直しました結果、アジア地域の商品需要率は昨年より3.5%低下して「おります」。,資料を見直しました結果、アジア地域の商品需要率は昨年より3.5%低下して「います」。
82,もらう,ここで、一旦休憩に入らせて「いただき」ます。,ここで、一旦休憩に入らせて「もらい」ます。
83,もらう,何かございましたら今後の改善のため、ご指示「いただき」たく存じます。,何かございましたら今後の改善のため、ご指示「もらい」たく存じます。
84,します,よろしくお願い「致します」。,よろしくお願い「します」。
85,します,失礼「いたします」。,失礼「します」。
86,もらう,お声かけ「いただき」まして誠にありがとうございます。,お声かけ「もらい」まして誠にありがとうございます。
87,います,これは豆がすくすく伸びる様子を表して「おります」。,これは豆がすくすく伸びる様子を表して「います」。
88,います,これからご提案するロゴはその辺も踏まえたものとなって「おります」。,これからご提案するロゴはその辺も踏まえたものとなって「います」。
89,もらう,御社のことをお調べさせて「いただき」ロゴには緑と青が良いと判断させて「いただき」ました。,御社のことをお調べさせて「もらい」ロゴには緑と青が良いと判断させて「もらい」ました。
90,もらう,お褒め「いただき」ありがとうございます。,お褒め「もらい」ありがとうございます。
91,もらう,この提案「いただいた」のが非常に気に入ったのですが、岩谷さんはどうでしょうか？,この提案「もらった」のが非常に気に入ったのですが、岩谷さんはどうでしょうか？
92,います,お客様の中には君たちよりリフォームに関しての知識が多い方も「いらっしゃいます」。,お客様の中には君たちよりリフォームに関しての知識が多い方も「います」。
93,もらう,頑張って御社だけの特別価格にさせて「いただき」ました。,頑張って御社だけの特別価格にさせて「もらい」ました。
94,どう,「いかが」なものでしょうか？,「どう」なものでしょうか？
95,もらう,私も納得してお買い上げ「いただき」たいので何なりとご質問ください。,私も納得してお買い上げ「もらい」たいので何なりとご質問ください。
96,てください,私も納得してお買い上げいただきたいので何なりと「ご質問ください」。,私も納得してお買い上げいただきたいので何なりと「質問してください」。
97,もらう,私も気持ちよくご契約「いただき」たいので問題ありません。,私も気持ちよくご契約「もらい」たいので問題ありません。
98,と申します,社長様ですか、私A生命の柴田「と申します」。,社長様ですか、私A生命の柴田「です」。
99,どう,わかりました、お日にちは来週の火曜日か水曜日あたりで「いかが」ですか？,わかりました、お日にちは来週の火曜日か水曜日あたりで「どう」ですか？
100,言う,揚げ物が多いのは「おっしゃる」とおりですね。,揚げ物が多いのは「言う」とおりですね。
101,どう,ボリューム系ですと、Cコースなんかは「いかが」でしょうか？,ボリューム系ですと、Cコースなんかは「どう」でしょうか？
102,どう,海鮮系ですね、握り寿司は「いかが」でしょうか？,海鮮系ですね、握り寿司は「どう」でしょうか？
103,います,いいえ、社屋の移転を考えて「おります」。,いいえ、社屋の移転を考えて「います」。
104,います,そこで社用車の台数を半分に減らすのが良いのではないかと考えて「おります」。,そこで社用車の台数を半分に減らすのが良いのではないかと考えて「います」。
105,います,はい河合です、お世話になって「おります」。,はい河合です、お世話になって「います」。
106,います,お世話になって「おります」、提出した企画はいかがでしたでしょうか？,お世話になって「います」、提出した企画はいかがでしたでしょうか？
107,どう,お世話になっております、提出した企画は「いかが」でしたでしょうか？,お世話になっております、提出した企画は「どう」でしたでしょうか？
108,どう,70万などは「いかが」でしょうか？,70万などは「どう」でしょうか？
109,もらう,それでしたら逆にどこまでならお値引きして「いただけます」か？,それでしたら逆にどこまでならお値引きして「もらえます」か？
110,します,では、改めてご連絡「いたします」。,では、改めてご連絡「します」。
111,します,よろしくお願い「いたします」。,よろしくお願い「します」。
112,もらう,今日はお越し「いただき」ありがとうございます、では今から面接を始めます。,今日はお越し「もらい」ありがとうございます、では今から面接を始めます。
113,もらう,こちらこそお時間を「いただき」ありがとうございます。,こちらこそお時間を「もらい」ありがとうございます。
114,います,日本語以外でビジネスレターを書くのには慣れて「いらっしゃいます」か？,日本語以外でビジネスレターを書くのには慣れて「います」か？
115,います,はいそうですねというわけにはいきませんので、ホテルの支配人が病院までお詫びに行って「おります」。,はいそうですねというわけにはいきませんので、ホテルの支配人が病院までお詫びに行って「います」。
116,います,お客様で目撃した方は「いらっしゃいます」か？,お客様で目撃した方は「います」か？
117,います,はい、２人「いらっしゃいます」。,はい、２人「います」。
118,と申します,失礼します、Ｋ大学の村上陽子「と申します」。,失礼します、Ｋ大学の村上陽子「です」。
119,てください,どうぞ「お座りください」。,どうぞ「座ってください」。
120,どう,日本の高校は「いかが」でしたか？,日本の高校は「どう」でしたか？
121,もらう,やり遂げたこととしていいのか躊躇しましたが、あの時の気持ちが忘れられなかったので書かせて「いただき」ました。,やり遂げたこととしていいのか躊躇しましたが、あの時の気持ちが忘れられなかったので書かせて「もらい」ました。
122,もらう,今日は「お越しいただいて」ありがとうございました。,今日は「来てもらって」ありがとうございました。
123,もらう,お忙しい中、お時間を「いただき」、ありがとうございました。,お忙しい中、お時間を「もらい」、ありがとうございました。
124,します,どうぞよろしくお願い「いたします」。,どうぞよろしくお願い「します」。
125,と申します,東京本社事業開発部の浅野「と申します」。,東京本社事業開発部の浅野「です」。
126,います,田沼さんは「いらっしゃいます」か？,田沼さんは「います」か？
127,てください,少々「お待ちください」。,少々「待ってください」。
128,と申します,新規開発部の杉田「と申します」。,新規開発部の杉田「です」。
129,もらう,我が社が先月落札したこのエリアの開発案を発表させて「いただき」ます。,我が社が先月落札したこのエリアの開発案を発表させて「もらい」ます。
130,と申します,営業部の川内「と申します」。,営業部の川内「です」。
131,と申します,吉田「と申します」。,吉田「です」。
132,と申します,秘書室の川田「と申します」が、塚田部長をお願いいたします。,秘書室の川田「です」が、塚田部長をお願いいたします。
133,します,秘書室の川田と申しますが、塚田部長をお願い「いたします」。,秘書室の川田と申しますが、塚田部長をお願い「します」。
134,てください,はい、少々「お待ちください」。,はい、少々「待ってください」。
135,と申します,秘書室の川田「と申します」。,秘書室の川田「です」。
136,もらう,御社が来月から導入する新しいシステムの説明をさせて「いただき」ます。,御社が来月から導入する新しいシステムの説明をさせて「もらい」ます。
137,と申します,私はこのシステムを開発しているＳ社の小川「と申します」。,私はこのシステムを開発しているＳ社の小川「です」。
138,てください,移行のために今月３０日の夜９時から１日の朝６時までの９時間はシステムが一切使えませんので「ご注意ください」。,移行のために今月３０日の夜９時から１日の朝６時までの９時間はシステムが一切使えませんので「注意してください」。
139,もらう,週末でも来て「いただけます」か？,週末でも来て「もらえます」か？
140,てください,はい、設備の大きさが決まってからのお答えになりますので、担当者が訪問させていただく際に「お尋ねください」。,はい、設備の大きさが決まってからのお答えになりますので、担当者が訪問させていただく際に「来てください」。
141,します,では土曜日にお願い「いたします」。,では土曜日にお願い「します」。
142,てください,変更がございましたらまた「お電話をください」。,変更がございましたらまた「電話をかけてください」。
143,もらう,お忙しい中インタビューに応じて「いただき」、ありがとうございます。,お忙しい中インタビューに応じて「もらい」、ありがとうございます。
144,もらう,早速質問させて「いただき」ます。,早速質問させて「もらい」ます。
145,もらう,はい、そうさせて「いただき」ます。,はい、そうさせて「もらい」ます。
146,と申します,開発部マネージャーの佐々木「と申します」。,開発部マネージャーの佐々木「です」。
147,します,新製品開発にあたって概要を説明「いたします」。,新製品開発にあたって概要を説明「します」。
148,もらう,こんにちは、わざわざ「お越しいただいて」ありがとうございます。,こんにちは、わざわざ「来てもらって」ありがとうございます。
149,もらう,それでは、早速こちらの買取価格の提示をさせて「いただき」ます。,それでは、早速こちらの買取価格の提示をさせて「もらい」ます。
150,どう,一坪当たり52万で「いかが」でしょうか？,一坪当たり52万で「どう」でしょうか？
151,もらう,ええ、折角いろいろ準備して「いただいた」のにすみません。,ええ、折角いろいろ準備して「もらった」のにすみません。
152,てください,ええ、ですからぜひお話を「お聞かせください」。,ええ、ですからぜひお話を「聞かせてください」。
153,てください,それでは、まずはこちらからご質問しますので、「お答えください」ますか？,それでは、まずはこちらからご質問しますので、「答えてください」ますか？
154,もらう,はい、この度はお買い上げ「いただき」ありがとうございます。,はい、この度はお買い上げ「もらい」ありがとうございます。
155,もらう,それでは、商品の交換かご返品で対応させて「いただき」たいのですが。,それでは、商品の交換かご返品で対応させて「もらい」たいのですが。
156,てください,確認してまいりますので、少々「お待ちください」。,確認してまいりますので、少々「待ってください」。
157,します,お手数とは思いますが、交換品が到着しましたら不良品の梱包と配送をお願い「致します」。,お手数とは思いますが、交換品が到着しましたら不良品の梱包と配送をお願い「します」。
158,もらう,それではこの度はお買い上げ「いただいた」商品でご不便をおかけしました。,それではこの度はお買い上げ「もらった」商品でご不便をおかけしました。
159,します,はい、失礼「いたします」。,はい、失礼「します」。
160,います,やっている人も会社の中に何人か「いらっしゃいます」し、今度ご紹介しましょうか？,やっている人も会社の中に何人か「います」し、今度ご紹介しましょうか？
161,います,そうですね、時々「いらっしゃいます」ね。,そうですね、時々「います」ね。
162,どう,松下さんは今年の調子は「いかが」ですか？,松下さんは今年の調子は「どう」ですか？
163,もらう,今回は時間をかけて引き継いで「いただいた」ので何とか大丈夫でした。,今回は時間をかけて引き継いで「もらった」ので何とか大丈夫でした。
164,言う,高田さん、代表電話に荒川社長宛に小川さんと「おっしゃる」方からお電話なんですが。,高田さん、代表電話に荒川社長宛に小川さんと「言う」方からお電話なんですが。
165,と申します,お電話代わりました、社長秘書の高田「と申します」。,お電話代わりました、社長秘書の高田「です」。
166,います,大変失礼ではございますが、どちらの小川様で「いらっしゃいます」か？,大変失礼ではございますが、どちらの小川様で「います」か？
167,います,申し訳ございません、どちらの方か伺うように厳命されて「おります」。,申し訳ございません、どちらの方か伺うように厳命されて「います」。
168,もらう,いえ、直接社長にお話することですので、取り次いで「いただけます」か？,いえ、直接社長にお話することですので、取り次いで「もらえます」か？
169,います,申し訳ございません、荒川宛の電話につきましては、一旦私がご用件を承るように命じられて「おります」。,申し訳ございません、荒川宛の電話につきましては、一旦私がご用件を承るように命じられて「います」。
170,います,私共は東京都内の不動産を取り扱って「おります」会社でして。,私共は東京都内の不動産を取り扱って「います」会社でして。
171,もらう,資産運用の一貫として、不動産投資のご提案を直接させて「いただき」たくお電話しました。,資産運用の一貫として、不動産投資のご提案を直接させて「もらい」たくお電話しました。
172,もらう,小川様からのお電話「いただいた」こと、及びご用件につきましては承りました。,小川様からのお電話「もらった」こと、及びご用件につきましては承りました。
173,もらう,いえいえ、大丈夫です、こちらから連絡させて「いただき」ます。,いえいえ、大丈夫です、こちらから連絡させて「もらい」ます。
174,てください,決定しましたら、「お知らせください」。,決定しましたら、お知らせください。
175,と申します,お電話代わりました、広報IRの高田「と申します」。,お電話代わりました、広報IRの高田「です」。
176,と申します,私は人材エージェントのR社の幸田「と申します」。,私は人材エージェントのR社の幸田「です」。
177,います,実は、近いうちに上場をご検討されている企業様より、IRをお任せできる優秀な方のご紹介を依頼されて「おります」。,実は、近いうちに上場をご検討されている企業様より、IRをお任せできる優秀な方のご紹介を依頼されて「います」。
178,います,金融関係の方、としか申し上げられませんが、大変優秀でいらっしゃると伺って「おります」。,金融関係の方、としか申し上げられませんが、大変優秀でいらっしゃると伺って「います」。
179,います,お褒めいただいて恐縮ですが、現在の職場環境が気に入って「おります」ので。,お褒めいただいて恐縮ですが、現在の職場環境が気に入って「います」ので。
180,どう,Rホテル１階のラウンジに、高田さんのご都合のよろしい日時で「いかが」でしょうか？,Rホテル１階のラウンジに、高田さんのご都合のよろしい日時で「どう」でしょうか？
181,います,その時は、よいお返事を頂けることを期待して「おります」ので。,その時は、よいお返事を頂けることを期待して「います」ので。
182,言う,それもまた難しいことを「おっしゃる」のですね。,それもまた難しいことを「言う」のですね。
183,います,ふふ、次の機会にお会いできることを心から祈って「おります」。,ふふ、次の機会にお会いできることを心から祈って「います」。
184,もらう,そこで、林さんから、こんな研修の案内を「いただき」ました。,そこで、林さんから、こんな研修の案内を「もらい」ました。
185,もらう,わかりました、それでは参加の手続きをさせて「いただき」ます。,わかりました、それでは参加の手続きをさせて「もらい」ます。
186,います,また、どうしても９月中に実施が困難な社員に対しては、１１月に予備日を設定して「おります」。,また、どうしても９月中に実施が困難な社員に対しては、１１月に予備日を設定して「います」。
187,言う,高田さん、株主と「おっしゃる」方から代表に電話がかかってきたので、お願いできますか？,高田さん、株主と「言う」方から代表に電話がかかってきたので、お願いできますか？
188,と申します,お電話代わりました、広報IR室の高田「と申します」。,お電話代わりました、広報IR室の高田「です」。
189,います,とんでもございません、株主様へのご対応に不手際がないように、お問い合わせいただく方、すべてにお名前を伺って「おります」。,とんでもございません、株主様へのご対応に不手際がないように、お問い合わせいただく方、すべてにお名前を伺って「います」。
190,います,また、お問い合わせ頂いた内容については経営陣に、都度周知して「おります」のでご安心ください。,また、お問い合わせ頂いた内容については経営陣に、都度周知して「います」のでご安心ください。
191,てください,また、お問い合わせ頂いた内容については経営陣に、都度周知しておりますので「ご安心ください」。,また、お問い合わせ頂いた内容については経営陣に、都度周知しておりますので「安心してください」。
192,言う,と、「おっしゃる」のは、本日開示致しました大型案件のことでございましょうか？,と、「言う」のは、本日開示致しました大型案件のことでございましょうか？
193,います,今回は新システムの導入第１号案件ですので、こちらを皮切りに事業拡大を計画して「おります」。,今回は新システムの導入第１号案件ですので、こちらを皮切りに事業拡大を計画して「います」。
194,います,弊社の事業展開や業績推移につきましては、これからもスピーディーに分かりやすく発信して参りたいと思って「おります」。,弊社の事業展開や業績推移につきましては、これからもスピーディーに分かりやすく発信して参りたいと思って「います」。
195,います,今後も皆様のご期待に添えるように、社員全員が事業を邁進して参りたいと考えて「おります」。,今後も皆様のご期待に添えるように、社員全員が事業を邁進して参りたいと考えて「います」。
196,います,お手元の招集通知に記載して「おります」通り、報告事項でございます。,お手元の招集通知に記載して「います」通り、報告事項でございます。
197,します,本件につきましては、営業部門担当の小関取締役よりご説明「いたします」。,本件につきましては、営業部門担当の小関取締役よりご説明「します」。
198,います,まず本件につきまして、多方面にご迷惑をおかけして「おります」ことを、この場を借りてお詫び申し上げます。,まず本件につきまして、多方面にご迷惑をおかけして「います」ことを、この場を借りてお詫び申し上げます。
199,います,今回のL社向けネット決済システムは当社の主力商品として推進していきたいと思って「おります」。,今回のL社向けネット決済システムは当社の主力商品として推進していきたいと思って「います」。
200,います,その為、本システムの第１号導入先となるL社とは今後も良好な取引関係を継続していきたいと考えて「おります」。,その為、本システムの第１号導入先となるL社とは今後も良好な取引関係を継続していきたいと考えて「います」。
201,もらう,従いまして、今回の検収及び売上計上の時期については先方のご意向を優先させて「いただき」たく、小職判断で検収時期を後倒し致します。,従いまして、今回の検収及び売上計上の時期については先方のご意向を優先させて「もらい」たく、小職判断で検収時期を後倒し致します。
202,します,従いまして、今回の検収及び売上計上の時期については先方のご意向を優先させていただきたく、小職判断で検収時期を後倒し「致します」。,従いまして、今回の検収及び売上計上の時期については先方のご意向を優先させていただきたく、小職判断で検収時期を後倒し「します」。
203,います,本件に関しましては、検収の後倒しリスクが発生した段階より、各取締役とも意見交換を行い、この判断がベターであろうと考えて「おります」。,本件に関しましては、検収の後倒しリスクが発生した段階より、各取締役とも意見交換を行い、この判断がベターであろうと考えて「います」。
204,います,お世話になって「おります」、I社広報IR担当の高田です。,お世話になって「います」、I社広報IR担当の高田です。
205,もらう,お忙しい所恐れ入ります、少々ご相談させて「いただき」たいことがございましてお電話しました。,お忙しい所恐れ入ります、少々ご相談させて「もらい」たいことがございましてお電話しました。
206,います,今期の予想売上高に対して約１２％、予想経常利益に対しては１５％程度の影響があると見込んで「おります」。,今期の予想売上高に対して約１２％、予想経常利益に対しては１５％程度の影響があると見込んで「います」。
207,います,重々承知して「おります」。,重々承知して「います」。
208,もらう,こちらにも事情があるし、そこは当初の契約書通り進めて「いただき」たいから。,こちらにも事情があるし、そこは当初の契約書通り進めて「もらい」たいから。
209,います,お世話になって「おります」、T経済出版社の渡辺です。,お世話になって「います」、T経済出版社の渡辺です。
210,います,あ、渡辺さん、いつもお世話になって「おります」。,あ、渡辺さん、いつもお世話になって「います」。
211,どう,是非、御社の社長の取材をさせていただきたいのですが「いかが」でしょうか？,是非、御社の社長の取材をさせていただきたいのですが「どう」でしょうか？
212,もらう,是非、御社の社長の取材をさせて「いただき」たいのですがいかがでしょうか？,是非、御社の社長の取材をさせて「もらい」たいのですがいかがでしょうか？
213,もらう,社長にインタビューする形で事業内容を紹介して「いただいた」り、ここまでに至る苦労話とか。,社長にインタビューする形で事業内容を紹介して「もらった」り、ここまでに至る苦労話とか。
214,てください,ただ、弊社主導記事になりますので、御社から内容の変更依頼をいただいてもできない場合もありませので、あらかじめ「ご了承ください」。,ただ、弊社主導記事になりますので、御社から内容の変更依頼をいただいてもできない場合もありませので、あらかじめ「了承してください」。
215,もらう,２時間程度「いただき」たいと思います。,２時間程度「もらい」たいと思います。
