,conjugation_type,business_sentence,common_sentence
452,と申します,私A社の谷本「と申します」が、経理の竹田さんはいらっしゃいますか？,私A社の谷本「です」が、経理の竹田さんはいらっしゃいますか？
453,います,私A社の谷本と申しますが、経理の竹田さんは「いらっしゃいます」か？,私A社の谷本と申しますが、経理の竹田さんは「います」か？
454,てください,はい、少々「お待ちください」。,はい、少々「待ってください」。
455,います,あ、ご無沙汰して「おります」。,あ、ご無沙汰して「います」。
456,てください,手元の資料を「ご覧ください」。,手元の資料を「見てください」。
457,もらう,じゃ、そうさせて「いただき」ます。,じゃ、そうさせて「もらい」ます。
458,もらう,研究者たちの性格や働き方も実際に見て「いただき」たかったんですよね。,研究者たちの性格や働き方も実際に見て「もらい」たかったんですよね。
459,もらう,エンジニアの皆さんにもぜひ研究室を見て「いただき」たいです。,エンジニアの皆さんにもぜひ研究室を見て「もらい」たいです。
460,てください,お手元の会議目録を「ご覧ください」。,お手元の会議目録を「見てください」。
461,てください,その他、設備についての細かいスペックは添付資料を「ご覧ください」。,その他、設備についての細かいスペックは添付資料を「見てください」。
462,と申します,B社の竹内「と申します」。,B社の竹内「です」。
463,もらう,リネン類の集荷をご希望の際はコンピューター上でお申込み「いただけます」。,リネン類の集荷をご希望の際はコンピューター上でお申込み「もらえます」。
464,もらう,洗濯物を紛失することがないよう、弊社のハイテク処理システムで全行程を通して状況を追跡して「いただけます」。,洗濯物を紛失することがないよう、弊社のハイテク処理システムで全行程を通して状況を追跡して「もらえます」。
465,もらう,予約を取りつけて「いただき」、ありがとうございます！,予約を取りつけて「もらい」、ありがとうございます！
466,もらう,各階責任者の皆さん、研修にお越し「いただき」ありがとうございます。,各階責任者の皆さん、研修にお越し「もらい」ありがとうございます。
467,もらう,皆さんにはそれぞれの階の安全管理責任がありますので、緊急時の手順を知って「いただき」たいと思います。,皆さんにはそれぞれの階の安全管理責任がありますので、緊急時の手順を知って「もらい」たいと思います。
468,もらう,まず、責任者の皆さんには自分の階の従業員ひとりひとりに赤い防災リュックを配って「いただき」ます。,まず、責任者の皆さんには自分の階の従業員ひとりひとりに赤い防災リュックを配って「もらい」ます。
469,てください,まだ受け取っていなければ「お知らせください」。,まだ受け取っていなければお知らせください。
470,もらう,より安全な職場作りにご協力「いただき」、誠にありがとうございます！,より安全な職場作りにご協力「もらい」、誠にありがとうございます！
471,てください,各階のトレーニングを終えたら今週末までに必ず「ご報告ください」。,各階のトレーニングを終えたら今週末までに必ず「報告してください」。
472,てください,さらに変更の必要があれば私の連絡先まで「お知らせください」。,さらに変更の必要があれば私の連絡先までお知らせください。
473,てください,追加トレーニングについての情報をお送りしますので「ご検討ください」。,追加トレーニングについての情報をお送りしますので「検討してください」。
474,てください,なにかありましたら「ご連絡ください」。,なにかありましたら「連絡してください」。
475,てください,「お任せください」。,「任せてください」。
476,もらう,本当に、うちを選んで「いただき」光栄です。,本当に、うちを選んで「もらい」光栄です。
477,てください,三つとも他とはかなり違ったデザインになっていますので、見た目だけではなく、そちらのニーズに合ったものを「お選びください」ね。,三つとも他とはかなり違ったデザインになっていますので、見た目だけではなく、そちらのニーズに合ったものを「選んでください」ね。
478,てください,じっくり皆さんで「ご検討ください」。,じっくり皆さんで「検討してください」。
479,てください,では、経理部に回しますのでしばらく「お待ちください」。,では、経理部に回しますのでしばらく「待ってください」。
480,と申します,もしもし、B社経理の岡本「と申します」。,もしもし、B社経理の岡本「です」。
481,います,いつも商品を買わせていただいており、お世話になって「おります」。,いつも商品を買わせていただいており、お世話になって「います」。
482,てください,ちょっと調べてみますので「お待ちください」。,ちょっと調べてみますので「待ってください」。
483,します,よろしくお願い「いたします」。,よろしくお願い「します」。
484,もらう,ええ、お手数ですが、コピーを送って「いただけます」か？,ええ、お手数ですが、コピーを送って「もらえます」か？
485,もらう,では、電話を切ったらすぐに送らせて「いただき」ます。,では、電話を切ったらすぐに送らせて「もらい」ます。
486,てください,「お任せください」。,「任せてください」。
487,います,もしもし、山口武夫さまは「いらっしゃいます」か？,もしもし、山口武夫さまは「います」か？
488,と申します,私、P社大阪支社人事部の竹田「と申します」。,私、P社大阪支社人事部の竹田「です」。
489,もらう,実は、先日「いただいた」履歴書についてお話したいのですが。,実は、先日「もらった」履歴書についてお話したいのですが。
490,います,はい、この求人の直属上司となる者が見たところ、山口様の経験と実績の内容が希望通りなので一度会って話したいと申して「おります」。,はい、この求人の直属上司となる者が見たところ、山口様の経験と実績の内容が希望通りなので一度会って話したいと申して「います」。
491,もらう,そこで、弊社に面接に来て「いただき」たいのですが、今週お時間ありますか？,そこで、弊社に面接に来て「もらい」たいのですが、今週お時間ありますか？
492,どう,では、金曜の午前中は「いかが」でしょうか？,では、金曜の午前中は「どう」でしょうか？
493,もらう,では、10時にお伺いさせて「いただき」ます。,では、10時にお伺いさせて「もらい」ます。
494,います,そこで私がお待ちして「おります」。,そこで私がお待ちして「います」。
495,もらう,先日、履歴書と一緒に発表論文などもお送り「いただいた」のですが、他に何かあれば面接時にお持ちください。,先日、履歴書と一緒に発表論文などもお送り「もらった」のですが、他に何かあれば面接時にお持ちください。
496,てください,先日、履歴書と一緒に発表論文などもお送りいただいたのですが、他に何かあれば面接時に「お持ちください」。,先日、履歴書と一緒に発表論文などもお送りいただいたのですが、他に何かあれば面接時にお持ちください。
497,します,はい、では金曜日によろしくお願い「いたします」。,はい、では金曜日によろしくお願い「します」。
498,てください,こちらですので、「ご確認ください」。,こちらですので、「確認してください」。
499,もらう,最終的に処理する前に、記入漏れなどがないか確認したいので、出来れば水曜までに提出「いただけます」か。,最終的に処理する前に、記入漏れなどがないか確認したいので、出来れば水曜までに提出「もらえます」か。
500,もらう,今日は、当社までご足労「いただき」ありがとうございます。,今日は、当社までご足労「もらい」ありがとうございます。
501,します,それでは、当社のデータベースツールの使い方をご説明「いたします」。,それでは、当社のデータベースツールの使い方をご説明「します」。
502,てください,ご質問があれば、ご遠慮なく、その都度「お尋ねください」。,ご質問があれば、ご遠慮なく、その都度「来てください」。
503,もらう,さて、今日は、ちょっと重要な件で来て「いただき」ました。,さて、今日は、ちょっと重要な件で来て「もらい」ました。
504,どう,なので、御社もその中間市場を狙ってみては「いかが」でしょうか。,なので、御社もその中間市場を狙ってみては「どう」でしょうか。
505,てください,では、タクシーの手配をしてきますので、少々「お待ちください」。,では、タクシーの手配をしてきますので、少々「待ってください」。
506,もらう,そうでしたら、当スクールでは「企業向け英会話コース」をビギナーレベルからアドバンスまで各種用意していますので、その中から御社のニーズに合ったコースをお選び「いただけます」。,そうでしたら、当スクールでは「企業向け英会話コース」をビギナーレベルからアドバンスまで各種用意していますので、その中から御社のニーズに合ったコースをお選び「もらえます」。
507,てください,ぜひ「お越しください」。,ぜひ「来てください」。
508,もらう,あと、予算との兼ね合いがあるので、料金表などがあれば見せて「いただき」たいのですが。,あと、予算との兼ね合いがあるので、料金表などがあれば見せて「もらい」たいのですが。
509,します,では、こちらのほうで一時間レッスンを月二回、一年間コースの料金見積を出して、折り返しお電話「いたします」。,では、こちらのほうで一時間レッスンを月二回、一年間コースの料金見積を出して、折り返しお電話「します」。
510,もらう,失礼ですが、お名前のほう教えて「いただけます」か？,失礼ですが、お名前のほう教えて「もらえます」か？
511,と申します,B社人事部の田口「と申します」。,B社人事部の田口「です」。
512,します,よろしくお願い「いたします」。,よろしくお願い「します」。
513,します,はい、これは私の直通電話なので、こちらにお願い「いたします」。,はい、これは私の直通電話なので、こちらにお願い「します」。
514,します,では、また後ほどお電話「いたします」。,では、また後ほどお電話「します」。
515,います,お待ちして「おります」。,お待ちして「います」。
516,します,さて、次は、英語プレゼンのコツをご紹介「いたします」。,さて、次は、英語プレゼンのコツをご紹介「します」。
517,もらう,部屋も見させて「いただき」ましたが。,部屋も見させて「もらい」ましたが。
518,と申します,N社の山崎「と申します」。,N社の山崎「です」。
519,もらう,本日はお集まり「いただき」ありがとうございます。,本日はお集まり「もらい」ありがとうございます。
520,もらう,すみません、どなたかドアの近くの電気スイッチを暗くして「いただけます」でしょうか？,すみません、どなたかドアの近くの電気スイッチを暗くして「もらえます」でしょうか？
521,てください,ご質問があれば、その都度、ご遠慮なく「おたずねください」。,ご質問があれば、その都度、ご遠慮なく「来てください」。
522,もらう,さて、先日「日本の流通」の本の表紙案を何件か「いただいた」んですが。,さて、先日「日本の流通」の本の表紙案を何件か「もらった」んですが。
523,します,失礼「いたします」。,失礼「します」。
524,もらう,マネジャーに訊いてきますから、そちらでお待ち「いただけます」か？,マネジャーに訊いてきますから、そちらでお待ち「もらえます」か？
525,と申します,はい、A社カスタマーサービスの田中「と申します」。,はい、A社カスタマーサービスの田中「です」。
526,てください,少々「お待ちください」ませ。,少々「待ってください」ませ。
527,います,当社の手配ミスで配送が遅れて「おります」。,当社の手配ミスで配送が遅れて「います」。
528,います,明日までには配達予定となって「おります」ので、申し訳ありませんがもう少々お待ちください。,明日までには配達予定となって「います」ので、申し訳ありませんがもう少々お待ちください。
529,てください,明日までには配達予定となっておりますので、申し訳ありませんがもう少々「お待ちください」。,明日までには配達予定となっておりますので、申し訳ありませんがもう少々「待ってください」。
530,します,今後このようなことがないように「いたします」。,今後このようなことがないように「します」。
531,もらう,はい、今回ご迷惑をおかけしましたので、お詫びのしるしに送料の方を返金させて「いただき」たいと思います。,はい、今回ご迷惑をおかけしましたので、お詫びのしるしに送料の方を返金させて「もらい」たいと思います。
532,もらう,お支払い「いただき」ましたクレジットカードの方に1000円の返金をいたしますのでよろしくお願いいたします。,お支払い「もらい」ましたクレジットカードの方に1000円の返金をいたしますのでよろしくお願いいたします。
533,します,お支払いいただきましたクレジットカードの方に1000円の返金を「いたします」のでよろしくお願い「いたします」。,お支払いいただきましたクレジットカードの方に1000円の返金を「します」のでよろしくお願い「します」。
534,します,今後ともよろしくお願い「いたします」。,今後ともよろしくお願い「します」。
535,します,それでは失礼「いたします」。,それでは失礼「します」。
536,もらう,少し考える時間を「いただき」たいです。,少し考える時間を「もらい」たいです。
537,します,では月末までにはお知らせ「いたします」。,では月末までにはお知らせ「します」。
538,と申します,ABCトレーディングの斉藤「と申します」が、西村様いらっしゃいますでしょうか。,ABCトレーディングの斉藤「です」が、西村様いらっしゃいますでしょうか。
539,います,ABCトレーディングの斉藤と申しますが、西村様「いらっしゃいます」でしょうか。,ABCトレーディングの斉藤と申しますが、西村様「います」でしょうか。
540,てください,少々「おまちください」。,少々「まってください」。
541,と申します,ABCトレーディングの斉藤「と申します」。,ABCトレーディングの斉藤「です」。
542,もらう,先週お見積り「いただいた」自動車部品の件でご相談がありまして。,先週お見積り「もらった」自動車部品の件でご相談がありまして。
543,います,実は、先方から値引きをお願いされて「おります」。,実は、先方から値引きをお願いされて「います」。
544,します,先方にはボリュームの方で交渉「いたします」ので。,先方にはボリュームの方で交渉「します」ので。
545,します,よろしくお願い「いたします」。,よろしくお願い「します」。
546,と申します,すみません、A食品の高坂「と申します」。,すみません、A食品の高坂「です」。
547,います,営業企画部の坂田さんは「いらっしゃいます」か？,営業企画部の坂田さんは「います」か？
548,します,只今確認「いたします」ので、少々お待ち下さい。,只今確認「します」ので、少々お待ち下さい。
549,います,はい、A食品の高坂様ですね、本日10時で承って「おります」。,はい、A食品の高坂様ですね、本日10時で承って「います」。
550,もらう,本日はご足労「いただき」まして、本当にありがとうございます。,本日はご足労「もらい」まして、本当にありがとうございます。
551,もらう,じゃ、コーヒーを「いただき」ます。,じゃ、コーヒーを「もらい」ます。
552,します,よろしくお願い「いたします」。,よろしくお願い「します」。
553,します,その旨必ず伝えまして、なるべく早くお返事「いたします」。,その旨必ず伝えまして、なるべく早くお返事「します」。
554,もらう,残念ですが、この後すぐもう一件打ち合わせがありますので、これで失礼させて「いただき」ます。,残念ですが、この後すぐもう一件打ち合わせがありますので、これで失礼させて「もらい」ます。
555,と申します,T社の上田「と申します」。,T社の上田「です」。
556,てください,かしこまりました、少々「お待ちください」ませ。,かしこまりました、少々「待ってください」ませ。
557,います,申し訳ございませんが村上は本日お休みをいただいて「おります」。,申し訳ございませんが村上は本日お休みをいただいて「います」。
558,どう,私でよろしければ代わりにご用件を承りますが「いかが」いたしましょうか？,私でよろしければ代わりにご用件を承りますが「どう」いたしましょうか？
559,もらう,実は先日ご提案「いただいた」新価格表についてお話ししたかったのですが。,実は先日ご提案「もらった」新価格表についてお話ししたかったのですが。
560,もらう,加藤さん、ミーティングのためにお時間を作って「いただき」、ありがとうございます。,加藤さん、ミーティングのためにお時間を作って「もらい」、ありがとうございます。
561,もらう,会議に関してのご連絡を「いただき」ありがとうございました。,会議に関してのご連絡を「もらい」ありがとうございました。
562,もらう,建設の予定と新しい工場を使って行う予定の製造プランを拝見させて「いただき」たいです。,建設の予定と新しい工場を使って行う予定の製造プランを拝見させて「もらい」たいです。
563,します,もちろんです、私が手配「いたします」。,もちろんです、私が手配「します」。
564,します,その間にこちらの件の詳細と条件をB会社に送っていただければ、私どもで確認「いたします」。,その間にこちらの件の詳細と条件をB会社に送っていただければ、私どもで確認「します」。
565,もらう,ご検討「いただき」ありがとうございます。,ご検討「もらい」ありがとうございます。
566,もらう,では来週連絡をさせて「いただき」、早めに工事の予定をお渡しいたします。,では来週連絡をさせて「もらい」、早めに工事の予定をお渡しいたします。
567,します,では来週連絡をさせていただき、早めに工事の予定をお渡し「いたします」。,では来週連絡をさせていただき、早めに工事の予定をお渡し「します」。
568,てください,新しい情報が入ったらまた「ご連絡ください」。,新しい情報が入ったらまた「連絡してください」。
569,もらう,吉田さん、お電話でお話しさせて「いただき」ありがとうございます。,吉田さん、お電話でお話しさせて「もらい」ありがとうございます。
570,もらう,急にご連絡を差し上げたにも関わらずお話しさせて「いただき」とても光栄です。,急にご連絡を差し上げたにも関わらずお話しさせて「もらい」とても光栄です。
571,と申します,私はT社の松本「と申します」。,私はT社の松本「です」。
572,います,大谷さまは「いらっしゃいます」か？,大谷さまは「います」か？
573,います,申し訳ございませんが、大谷はただいま外出して「おります」。,申し訳ございませんが、大谷はただいま外出して「います」。
574,します,はい、よろしくお願い「いたします」。,はい、よろしくお願い「します」。
575,します,スケジュールを確認「いたします」。,スケジュールを確認「します」。
576,てください,少々「お待ちください」ませ。,少々「待ってください」ませ。
577,います,はい、26日午前11時から、2番の会議室をお取りして「おります」。,はい、26日午前11時から、2番の会議室をお取りして「います」。
578,もらう,用件ですが、大谷さまに折り返しお電話いただけるようお伝え「いただけます」でしょうか？,用件ですが、大谷さまに折り返しお電話いただけるようお伝え「もらえます」でしょうか？
579,います,でも、我々の部署でも産休から復帰をされた方は「いらっしゃいます」ので、きっと大丈夫ですよ。,でも、我々の部署でも産休から復帰をされた方は「います」ので、きっと大丈夫ですよ。
580,と申します,営業部の鈴木「と申します」。,営業部の鈴木「です」。
581,と申します,私はB社の本田「と申します」。,私はB社の本田「です」。
582,します,はい、お調べ「いたします」。,はい、お調べ「します」。
583,もらう,出荷次第トラッキング情報を含めた確認のＥメールを送らせて「いただき」ます。,出荷次第トラッキング情報を含めた確認のＥメールを送らせて「もらい」ます。
584,もらう,課長に見て「いただき」たい箇所がありますので、あとで、少しお時間をいただけますか？,課長に見て「もらい」たい箇所がありますので、あとで、少しお時間をいただけますか？
585,もらう,課長に見ていただきたい箇所がありますので、あとで、少しお時間を「いただけます」か？,課長に見ていただきたい箇所がありますので、あとで、少しお時間を「もらえます」か？
586,します,はい、それは、次のスライドでご説明「いたします」。,はい、それは、次のスライドでご説明「します」。
587,します,えーと、最新の正確な数字については、ただ今資料を持ち合わせていないので、社に戻りましたら、折り返しご返事「いたします」。,えーと、最新の正確な数字については、ただ今資料を持ち合わせていないので、社に戻りましたら、折り返しご返事「します」。
588,てください,再度お名前を呼びますので、一旦外に出て「お待ちください」。,再度お名前を呼びますので、一旦外に出て「待ってください」。
589,します,まずはお客様のお名前と、お電話番号をお願い「いたします」。,まずはお客様のお名前と、お電話番号をお願い「します」。
590,します,お調べ「いたします」ので、少々お待ちくださいませ。,お調べ「します」ので、少々お待ちくださいませ。
591,てください,お調べいたしますので、少々「お待ちください」ませ。,お調べいたしますので、少々「待ってください」ませ。
592,もらう,ではこちらでどういった対応が可能か確認いたしますので、再度お待ち「いただけます」でしょうか。,ではこちらでどういった対応が可能か確認いたしますので、再度お待ち「もらえます」でしょうか。
593,します,ではこちらでどういった対応が可能か確認「いたします」ので、再度お待ちいただけますでしょうか。,ではこちらでどういった対応が可能か確認「します」ので、再度お待ちいただけますでしょうか。
594,もらう,確認のEメールをお客様のEメールアカウントにお送りさせて「いただき」ました。,確認のEメールをお客様のEメールアカウントにお送りさせて「もらい」ました。
595,もらう,本日は、田辺が対応させて「いただき」ました。,本日は、田辺が対応させて「もらい」ました。
596,もらう,ABCオンラインショップ、カスタマーサービスセンターをご利用「いただき」ありがとうございました。,ABCオンラインショップ、カスタマーサービスセンターをご利用「もらい」ありがとうございました。
597,もらう,では、ぜひ面接に来て「いただき」たいと思います。,では、ぜひ面接に来て「もらい」たいと思います。
598,てください,スーツ着用で、履歴書を「お持ちください」。,スーツ着用で、履歴書をお持ちください。
599,もらう,はい、行かせて「いただき」ます。,はい、行かせて「もらい」ます。
600,います,うちのお客様もたくさん気に入って「いらっしゃいます」よね。,うちのお客様もたくさん気に入って「います」よね。
601,います,ご無沙汰して「おります」。,ご無沙汰して「います」。
602,もらう,好きな時間に受講して「いただけます」よ。,好きな時間に受講して「もらえます」よ。
603,もらう,そうです、何度でも見て「いただけます」。,そうです、何度でも見て「もらえます」。
604,します,では、今日はこれで失礼「いたします」。,では、今日はこれで失礼「します」。
605,もらう,では、その文書側の印刷設定を確認してみて「いただけます」か。,では、その文書側の印刷設定を確認してみて「もらえます」か。
606,もらう,5人前を8000円ぐらいで作って「いただき」たいのですが。,5人前を8000円ぐらいで作って「もらい」たいのですが。
607,もらう,ピーナッツは、アレルギーの者がいるので、入れないで「いただき」たいです。,ピーナッツは、アレルギーの者がいるので、入れないで「もらい」たいです。
608,てください,何か変更などありましたら、「お電話ください」。,何か変更などありましたら、「電話をかけてください」。
609,どう,受け取り時間は、「いかが」いたしましょうか？,受け取り時間は、「どう」いたしましょうか？
610,と申します,田村「と申します」。,田村「です」。
611,します,エレンの予定を確認「いたします」ね。,エレンの予定を確認「します」ね。
612,てください,少々「お待ちください」。,少々「待ってください」。
613,どう,「いかが」いたしましょうか。,「どう」いたしましょうか。
614,います,お待ちして「おります」。,お待ちして「います」。
615,どう,50ドル以上お買い上げいただくと、こちらのプレゼントを差しあげられるのですが、「いかが」でしょうか。,50ドル以上お買い上げいただくと、こちらのプレゼントを差しあげられるのですが、「どう」でしょうか。
616,どう,こちらのセットをもう1箱追加されると50ドルを超えますが、「いかが」でしょうか。,こちらのセットをもう1箱追加されると50ドルを超えますが、「どう」でしょうか。
617,どう,では、こちらの商品を、バラでいくつか「いかが」ですか？,では、こちらの商品を、バラでいくつか「どう」ですか？
618,します,追加はなしでお願い「いたします」。,追加はなしでお願い「します」。
619,します,クレジットカードでお願い「いたします」。,クレジットカードでお願い「します」。
620,てください,このカードは、私共のどこの店舗でもお使いになれますので、お買い上げの際に「ご提示ください」。,このカードは、私共のどこの店舗でもお使いになれますので、お買い上げの際に「提示してください」。
621,もらう,私がさっき、お品物を落としてしまって交換させて「いただいた」とき、ダブって入力してしまったのですね。,私がさっき、お品物を落としてしまって交換させて「もらった」とき、ダブって入力してしまったのですね。
622,もらう,では、1箱分の10ドル30セント、返金させて「いただき」ます。,では、1箱分の10ドル30セント、返金させて「もらい」ます。
623,します,では、こちらにサインをお願い「いたします」。,では、こちらにサインをお願い「します」。
624,てください,お詫びにといってはなんですが、こちらどうぞ「お持ちください」。,お詫びにといってはなんですが、こちらどうぞお持ちください。
625,と申します,2512号室の三浦「と申します」。,2512号室の三浦「です」。
626,います,いいえ、サービスは24時間行って「おります」。,いいえ、サービスは24時間行って「います」。
627,どう,「いかが」されましたか？,「どう」されましたか？
628,います,三浦様、このあとはお部屋に「いらっしゃいます」か？,三浦様、このあとはお部屋に「います」か？
629,します,ではよろしくお願い「いたします」。,ではよろしくお願い「します」。
630,します,担当の者をすぐにお部屋にお送り「いたします」。,担当の者をすぐにお部屋にお送り「します」。
631,てください,私はベランダにいますので、何かあったら声をかけてくださいと、担当の方に「お伝えください」。,私はベランダにいますので、何かあったら声をかけてくださいと、担当の方にお伝えください。
632,します,それではよろしくお願い「いたします」。,それではよろしくお願い「します」。
633,います,お世話になって「おります」、D社の川田です。,お世話になって「います」、D社の川田です。
634,います,はい、弊社で作成して「おります」フリーペーパーはご存知ですか？,はい、弊社で作成して「います」フリーペーパーはご存知ですか？
635,どう,そこで今回山田珈琲さんを掲載させていただきたいのですが「いかが」でしょうか？,そこで今回山田珈琲さんを掲載させていただきたいのですが「どう」でしょうか？
636,もらう,そこで今回山田珈琲さんを掲載させて「いただき」たいのですがいかがでしょうか？,そこで今回山田珈琲さんを掲載させて「もらい」たいのですがいかがでしょうか？
637,てください,ええっと、ちょっと「お待ちください」ね。,ええっと、ちょっと「待ってください」ね。
638,どう,そうしましたら木曜日の午後などは「いかが」でしょうか？,そうしましたら木曜日の午後などは「どう」でしょうか？
639,どう,では、15時は「いかが」ですか？,では、15時は「どう」ですか？
640,と申します,もしもし、御茶ノ水店の中井「と申します」。,もしもし、御茶ノ水店の中井「です」。
641,てください,少々「お待ちください」。,少々「待ってください」。
642,います,お世話になって「おります」。,お世話になって「います」。
643,います,ああ、青木さん、お世話になって「おります」。,ああ、青木さん、お世話になって「います」。
644,てください,ちょっと「お待ちください」。,ちょっと「待ってください」。
645,もらう,前回、6月に予約して「いただいた」ホテルがいいそうなんですが、空きがありますか？,前回、6月に予約して「もらった」ホテルがいいそうなんですが、空きがありますか？
646,もらう,行かれるお二人のパスポートのコピーをお送り「いただけます」か。,行かれるお二人のパスポートのコピーをお送り「もらえます」か。
647,もらう,確認して折り返しご連絡します、と一旦切らせて「いただき」ました。,確認して折り返しご連絡します、と一旦切らせて「もらい」ました。
648,います,いつもお世話になって「おります」、A社の石橋です。,いつもお世話になって「います」、A社の石橋です。
649,います,今回の商品、いい原料を使用しまして味、香り共に深みが増したものになって「おります」。,今回の商品、いい原料を使用しまして味、香り共に深みが増したものになって「います」。
650,どう,はい、では二時は「いかが」でしょうか？,はい、では二時は「どう」でしょうか？
651,します,では明後日の午後二時に、御社へお伺いさせて頂きますのでよろしくお願い「致します」。,では明後日の午後二時に、御社へお伺いさせて頂きますのでよろしくお願い「します」。
652,します,それでは失礼「致します」。,それでは失礼「します」。
653,います,いつもお世話になって「おります」。,いつもお世話になって「います」。
654,と申します,B社の山下「と申します」が大野さんはいらっしゃいますでしょうか？,B社の山下「です」が大野さんはいらっしゃいますでしょうか？
655,います,B社の山下と申しますが大野さんは「いらっしゃいます」でしょうか？,B社の山下と申しますが大野さんは「います」でしょうか？
656,します,はい、ただいまお繋ぎ「いたします」ので少々お待ちください。,はい、ただいまお繋ぎ「します」ので少々お待ちください。
657,てください,はい、ただいまお繋ぎいたしますので少々「お待ちください」。,はい、ただいまお繋ぎいたしますので少々「待ってください」。
658,います,いつもお世話になって「おります」山下です。,いつもお世話になって「います」山下です。
659,います,こちらこそ大変お世話になって「おります」。,こちらこそ大変お世話になって「います」。
660,します,では後程メールでご確認のほど、よろしくお願い「致します」。,では後程メールでご確認のほど、よろしくお願い「します」。
661,します,失礼「致します」。,失礼「します」。
662,します,失礼「致します」。,失礼「します」。
663,します,Aクレジットカードカスタマーセンター浜田が担当「致します」。,Aクレジットカードカスタマーセンター浜田が担当「します」。
664,います,毎月月末がこちらの締日とさせて頂いて「おります」ので、今月末までにご返送いただければ翌月のお引落日に間に合うかと存じます。,毎月月末がこちらの締日とさせて頂いて「います」ので、今月末までにご返送いただければ翌月のお引落日に間に合うかと存じます。
665,します,失礼「致します」。,失礼「します」。
666,います,早速ですが、防犯カメラの設置について何か意見のある方は「いらっしゃいます」か？,早速ですが、防犯カメラの設置について何か意見のある方は「います」か？
667,います,他に意見のある方は「いらっしゃいます」か？,他に意見のある方は「います」か？
668,います,反対意見の方は「いらっしゃいます」か？,反対意見の方は「います」か？
669,います,鈴木先生ありがとうございます、他には「いらっしゃいます」か？,鈴木先生ありがとうございます、他には「います」か？
670,います,井口様、いつもお世話になって「おります」。,井口様、いつもお世話になって「います」。
671,します,かしこまりました、担当者にお繋ぎ「いたします」ので、少々お待ちくださいませ。,かしこまりました、担当者にお繋ぎ「します」ので、少々お待ちくださいませ。
672,てください,かしこまりました、担当者にお繋ぎいたしますので、少々「お待ちください」ませ。,かしこまりました、担当者にお繋ぎいたしますので、少々「待ってください」ませ。
673,います,井口様、いつもお世話になって「おります」。,井口様、いつもお世話になって「います」。
674,もらう,順番に発表して「いただき」たいと思います。,順番に発表して「もらい」たいと思います。
675,もらう,なぜなら、直後に追加で１件、当社と契約を結んで「いただいた」そうですから。,なぜなら、直後に追加で１件、当社と契約を結んで「もらった」そうですから。
676,います,5月よりサービスを進めさせて頂いておりましたので、開始を5月1日とさせて頂きたいと考えて「おります」。,5月よりサービスを進めさせて頂いておりましたので、開始を5月1日とさせて頂きたいと考えて「います」。
677,どう,それでは6月1日から来年の5月31日の期間ということで「いかが」でしょうか。,それでは6月1日から来年の5月31日の期間ということで「どう」でしょうか。
678,します,それでお願い「致します」。,それでお願い「します」。
679,どう,「いかが」でしょうか。,「どう」でしょうか。
680,します,よろしくお願い「いたします」。,よろしくお願い「します」。
